schema=synthetic-market-config-v1
scenario=step9-demo-adversarial
class=adversarial_stress
venue=synthetic
instrument=DEMO-USD
run=step9-demo-run
seed=20260806
start_ns=0
grid_step_ns=100000
initial_reference_ticks=10000
fee_schedule=synthetic-fees-v1
maker_atoms_per_lot=-1
taker_atoms_per_lot=3
regime|normal|designed_synthetic|120|420000|210000|160000|90000|500000|80000|750000|300000|450000|2|5|12|1|5|2|90000|850000
regime|thin-high-vol|adversarial_stress|80|420000|400000|160000|220000|500000|80000|750000|300000|450000|2|5|4|1|5|2|90000|850000
shock|liquidity-vacuum|adversarial_stress|140|30|250000|2500000|3000000|2000000|2500000|150000|-25
action|74|53|5300000|normal|limit_add|buy|2|9982|55|55||accepted
action|75|53|5300000|normal|aggressive_market|sell|2||56|56||accepted_ioc
action|76|54|5400000|normal|limit_add|sell|2|9999|57|57||accepted
action|77|54|5400000|normal|aggressive_market|buy|2||58|58||accepted_ioc
action|78|55|5500000|normal|reference_move|buy|0|9989||||exogenous_discrete_reference_move
action|79|55|5500000|normal|limit_add|sell|3|9999|59|59||accepted
action|80|55|5500000|normal|aggressive_market|sell|3||60|60||accepted_ioc
action|81|56|5600000|normal|limit_add|sell|3|9997|61|61||accepted
action|82|56|5600000|normal|aggressive_market|sell|5||62|62||accepted_ioc
action|83|57|5700000|normal|limit_add|buy|1|9987|63|63||accepted
action|84|58|5800000|normal|limit_add|sell|4|9997|64|64||accepted
action|85|59|5900000|normal|aggressive_market|sell|5||65|65||accepted_ioc
action|86|60|6000000|normal|limit_add|buy|5|9983|66|66||accepted
action|87|61|6100000|normal|limit_add|buy|1|9987|67|67||accepted
action|88|61|6100000|normal|aggressive_market|sell|4||68|68||accepted_ioc
action|89|63|6300000|normal|aggressive_market|buy|5||69|69||accepted_ioc
action|90|64|6400000|normal|limit_add|sell|3|9997|70|70||accepted
action|91|64|6400000|normal|aggressive_market|sell|1||71|71||accepted_ioc
action|92|65|6500000|normal|limit_add|buy|3|9987|72|72||accepted
action|93|65|6500000|normal|aggressive_market|buy|2||73|73||accepted_ioc
action|94|66|6600000|normal|limit_add|sell|3|9996|74|74||accepted
action|95|66|6600000|normal|aggressive_market|buy|1||75|75||accepted_ioc
action|96|67|6700000|normal|limit_add|buy|2|9984|76|76||accepted
action|97|67|6700000|normal|aggressive_market|buy|5||77|77||accepted_ioc
action|98|68|6800000|normal|limit_add|sell|4|9996|78|78||accepted
action|99|68|6800000|normal|aggressive_market|buy|2||79|79||accepted_ioc
action|100|68|6800000|normal|cancel|sell|4||27|27||accepted
action|101|69|6900000|normal|limit_add|buy|3|9987|80|80||accepted
action|102|69|6900000|normal|cancel|sell|3||30|30||accepted
action|103|70|7000000|normal|limit_add|sell|4|9996|81|81||accepted
action|104|71|7100000|normal|limit_add|buy|2|9983|82|82||accepted
action|105|72|7200000|normal|limit_add|buy|2|9983|83|83||accepted
action|106|73|7300000|normal|cancel|buy|1||63|63||accepted
action|107|74|7400000|normal|limit_add|sell|5|9996|84|84||accepted
action|108|74|7400000|normal|aggressive_market|buy|5||85|85||accepted_ioc
action|109|75|7500000|normal|limit_add|buy|2|9987|86|86||accepted
action|110|77|7700000|normal|reference_move|buy|0|9991||||exogenous_discrete_reference_move
action|111|77|7700000|normal|limit_add|sell|5|9996|87|87||accepted
action|112|77|7700000|normal|aggressive_market|sell|1||88|88||accepted_ioc
action|113|78|7800000|normal|limit_add|sell|5|9996|89|89||accepted
action|114|79|7900000|normal|limit_add|sell|2|9997|90|90||accepted
action|115|80|8000000|normal|limit_add|buy|5|9988|91|91||accepted
action|116|80|8000000|normal|aggressive_market|sell|3||92|92||accepted_ioc
action|117|80|8000000|normal|cancel|sell|2||20|20||accepted
action|118|81|8100000|normal|limit_add|buy|3|9987|93|93||accepted
action|119|81|8100000|normal|cancel|sell|3||22|22||accepted
action|120|82|8200000|normal|limit_add|buy|5|9986|94|94||accepted
action|121|82|8200000|normal|aggressive_market|sell|3||95|95||accepted_ioc
action|122|84|8400000|normal|limit_add|sell|2|9995|96|96||accepted
action|123|85|8500000|normal|limit_add|sell|4|9995|97|97||accepted
action|124|86|8600000|normal|limit_add|sell|2|9997|98|98||accepted
action|125|86|8600000|normal|aggressive_market|sell|1||99|99||accepted_ioc
action|126|87|8700000|normal|limit_add|buy|3|9988|100|100||accepted
action|127|88|8800000|normal|limit_add|buy|1|9989|101|101||accepted
action|128|89|8900000|normal|limit_add|buy|2|9988|102|102||accepted
action|129|89|8900000|normal|aggressive_market|sell|1||103|103||accepted_ioc
action|130|90|9000000|normal|limit_add|sell|1|9995|104|104||accepted
action|131|91|9100000|normal|limit_add|sell|4|9995|105|105||accepted
action|132|91|9100000|normal|cancel|sell|3||13|13||accepted
action|133|92|9200000|normal|limit_add|sell|2|9997|106|106||accepted
action|134|92|9200000|normal|cancel|sell|1||104|104||accepted
action|135|93|9300000|normal|limit_add|buy|2|9985|107|107||accepted
action|136|94|9400000|normal|limit_add|buy|1|9986|108|108||accepted
action|137|94|9400000|normal|cancel|sell|5||89|89||accepted
action|138|95|9500000|normal|limit_add|sell|3|9997|109|109||accepted
action|139|95|9500000|normal|aggressive_market|buy|4||110|110||accepted_ioc
action|140|96|9600000|normal|limit_add|sell|1|9995|111|111||accepted
action|141|96|9600000|normal|aggressive_market|sell|5||112|112||accepted_ioc
action|142|97|9700000|normal|limit_add|sell|2|9994|113|113||accepted
action|143|98|9800000|normal|limit_add|buy|4|9988|114|114||accepted
action|144|101|10100000|normal|limit_add|sell|3|9994|115|115||accepted
action|145|102|10200000|normal|limit_add|buy|5|9988|116|116||accepted
action|146|103|10300000|normal|reference_move|sell|0|9989||||exogenous_discrete_reference_move
action|147|104|10400000|normal|limit_add|buy|2|9984|117|117||accepted
action|148|105|10500000|normal|limit_add|sell|4|9994|118|118||accepted
action|149|105|10500000|normal|aggressive_market|buy|3||119|119||accepted_ioc
action|150|105|10500000|normal|cancel|sell|5||37|37||accepted
action|151|106|10600000|normal|reference_move|buy|0|9990||||exogenous_discrete_reference_move
action|152|106|10600000|normal|limit_add|buy|2|9987|120|120||accepted
action|153|106|10600000|normal|aggressive_market|buy|1||121|121||accepted_ioc
action|154|109|10900000|normal|cancel|buy|2||102|102||accepted
action|155|112|11200000|normal|limit_add|sell|3|9996|122|122||accepted
action|156|112|11200000|normal|aggressive_market|buy|5||123|123||accepted_ioc
action|157|113|11300000|normal|limit_add|sell|1|9994|124|124||accepted
action|158|113|11300000|normal|aggressive_market|buy|2||125|125||accepted_ioc
action|159|113|11300000|normal|cancel|buy|2||82|82||accepted
action|160|114|11400000|normal|limit_add|sell|1|9994|126|126||accepted
action|161|115|11500000|normal|limit_add|sell|5|9994|127|127||accepted
action|162|115|11500000|normal|aggressive_market|sell|5||128|128||accepted_ioc
action|163|115|11500000|normal|cancel|buy|3||72|72||accepted
action|164|116|11600000|normal|limit_add|buy|3|9987|129|129||accepted
action|165|117|11700000|normal|limit_add|buy|2|9986|130|130||accepted
action|166|118|11800000|normal|limit_add|sell|2|9995|131|131||accepted
action|167|119|11900000|normal|aggressive_market|sell|3||132|132||accepted_ioc
action|168|119|11900000|normal|cancel|sell|2||90|90||accepted
action|169|120|12000000|thin-high-vol|aggressive_market|sell|4||133|133||accepted_ioc
action|170|121|12100000|thin-high-vol|reference_move|buy|0|9991||||exogenous_discrete_reference_move
action|171|121|12100000|thin-high-vol|aggressive_market|sell|5||134|134||accepted_ioc
action|172|124|12400000|thin-high-vol|reference_move|sell|0|9989||||exogenous_discrete_reference_move
action|173|124|12400000|thin-high-vol|limit_add|buy|2|9986|135|135||accepted
action|174|124|12400000|thin-high-vol|aggressive_market|buy|5||136|136||accepted_ioc
action|175|126|12600000|thin-high-vol|limit_add|sell|3|9994|137|137||accepted
action|176|126|12600000|thin-high-vol|aggressive_market|sell|1||138|138||accepted_ioc
action|177|126|12600000|thin-high-vol|cancel|sell|4||53|53||accepted
action|178|127|12700000|thin-high-vol|aggressive_market|sell|2||139|139||accepted_ioc
action|179|127|12700000|thin-high-vol|cancel|buy|3||47|47||accepted
action|180|128|12800000|thin-high-vol|aggressive_market|buy|5||140|140||accepted_ioc
action|181|129|12900000|thin-high-vol|aggressive_market|sell|1||141|141||accepted_ioc
action|182|130|13000000|thin-high-vol|aggressive_market|sell|2||142|142||accepted_ioc
action|183|131|13100000|thin-high-vol|aggressive_market|buy|1||143|143||accepted_ioc
action|184|133|13300000|thin-high-vol|limit_add|sell|2|9993|144|144||accepted
action|185|133|13300000|thin-high-vol|aggressive_market|sell|2||145|145||accepted_ioc
action|186|135|13500000|thin-high-vol|limit_add|buy|5|9986|146|146||accepted
action|187|135|13500000|thin-high-vol|aggressive_market|buy|1||147|147||accepted_ioc
action|188|135|13500000|thin-high-vol|cancel|buy|5||94|94||accepted
action|189|136|13600000|thin-high-vol|limit_add|sell|4|9994|148|148||accepted
action|190|137|13700000|thin-high-vol|limit_add|buy|1|9985|149|149||accepted
action|191|137|13700000|thin-high-vol|aggressive_market|buy|5||150|150||accepted_ioc
action|192|138|13800000|thin-high-vol|limit_add|sell|5|9992|151|151||accepted
action|193|138|13800000|thin-high-vol|aggressive_market|buy|3||152|152||accepted_ioc
action|194|139|13900000|thin-high-vol|cancel|sell|5||84|84||accepted
action|195|140|14000000|thin-high-vol|shock_applied||0|9964|||liquidity-vacuum|shock_start
action|196|140|14000000|thin-high-vol|reference_move|buy|0|9966||||exogenous_discrete_reference_move
action|197|140|14000000|thin-high-vol|aggressive_market|buy|1||153|153||accepted_ioc
action|198|140|14000000|thin-high-vol|cancel|sell|2||131|131||accepted
action|199|141|14100000|thin-high-vol|reference_move|sell|0|9965||||exogenous_discrete_reference_move
action|200|141|14100000|thin-high-vol|aggressive_market|sell|5||154|154||accepted_ioc
action|201|142|14200000|thin-high-vol|reference_move|buy|0|9966||||exogenous_discrete_reference_move
action|202|142|14200000|thin-high-vol|aggressive_market|sell|1||155|155||accepted_ioc
action|203|142|14200000|thin-high-vol|cancel|buy|3||129|129||accepted
action|204|143|14300000|thin-high-vol|aggressive_market|buy|5||156|156||accepted_ioc
action|205|144|14400000|thin-high-vol|reference_move|buy|0|9967||||exogenous_discrete_reference_move
action|206|144|14400000|thin-high-vol|aggressive_market|buy|5||157|157||accepted_ioc
action|207|144|14400000|thin-high-vol|cancel|sell|4||26|26||accepted
action|208|145|14500000|thin-high-vol|reference_move|buy|0|9969||||exogenous_discrete_reference_move
action|209|145|14500000|thin-high-vol|aggressive_market|buy|2||158|158||accepted_ioc
action|210|146|14600000|thin-high-vol|reference_move|buy|0|9971||||exogenous_discrete_reference_move
action|211|146|14600000|thin-high-vol|aggressive_market|sell|1||159|159||accepted_ioc
action|212|147|14700000|thin-high-vol|reference_move|buy|0|9973||||exogenous_discrete_reference_move
action|213|147|14700000|thin-high-vol|aggressive_market|sell|5||160|160||accepted_ioc
action|214|147|14700000|thin-high-vol|cancel|sell|5||38|38||accepted
action|215|148|14800000|thin-high-vol|aggressive_market|sell|4||161|161||accepted_ioc
action|216|149|14900000|thin-high-vol|reference_move|buy|0|9975||||exogenous_discrete_reference_move
action|217|149|14900000|thin-high-vol|aggressive_market|buy|1||162|162||accepted_ioc
action|218|150|15000000|thin-high-vol|reference_move|buy|0|9977||||exogenous_discrete_reference_move
action|219|150|15000000|thin-high-vol|aggressive_market|sell|4||163|163||accepted_ioc
action|220|151|15100000|thin-high-vol|aggressive_market|buy|1||164|164||accepted_ioc
action|221|152|15200000|thin-high-vol|reference_move|buy|0|9978||||exogenous_discrete_reference_move
action|222|152|15200000|thin-high-vol|aggressive_market|sell|2||165|165||accepted_ioc
action|223|153|15300000|thin-high-vol|reference_move|sell|0|9976||||exogenous_discrete_reference_move
action|224|153|15300000|thin-high-vol|aggressive_market|buy|5||166|166||accepted_ioc
action|225|153|15300000|thin-high-vol|cancel|sell|3||49|49||accepted
action|226|154|15400000|thin-high-vol|reference_move|sell|0|9974||||exogenous_discrete_reference_move
action|227|154|15400000|thin-high-vol|aggressive_market|buy|5||167|167||accepted_ioc
action|228|154|15400000|thin-high-vol|cancel|buy|2||117|117||accepted
action|229|155|15500000|thin-high-vol|reference_move|sell|0|9973||||exogenous_discrete_reference_move
action|230|155|15500000|thin-high-vol|aggressive_market|buy|3||168|168||accepted_ioc
action|231|155|15500000|thin-high-vol|cancel|sell|12||10|10||accepted
action|232|156|15600000|thin-high-vol|reference_move|sell|0|9972||||exogenous_discrete_reference_move
action|233|156|15600000|thin-high-vol|aggressive_market|buy|4||169|169||accepted_ioc
action|234|156|15600000|thin-high-vol|cancel|sell|12||9|9||accepted
action|235|157|15700000|thin-high-vol|aggressive_market|sell|5||170|170||accepted_ioc
action|236|157|15700000|thin-high-vol|cancel|sell|3||35|35||accepted
action|237|158|15800000|thin-high-vol|reference_move|buy|0|9974||||exogenous_discrete_reference_move
action|238|158|15800000|thin-high-vol|aggressive_market|buy|2||171|171||accepted_ioc
action|239|159|15900000|thin-high-vol|reference_move|buy|0|9975||||exogenous_discrete_reference_move
action|240|159|15900000|thin-high-vol|aggressive_market|buy|3||172|172||accepted_ioc
action|241|159|15900000|thin-high-vol|cancel|buy|5||66|66||accepted
action|242|160|16000000|thin-high-vol|reference_move|buy|0|9977||||exogenous_discrete_reference_move
action|243|160|16000000|thin-high-vol|aggressive_market|sell|4||173|173||accepted_ioc
action|244|160|16000000|thin-high-vol|cancel|sell|9||8|8||accepted
action|245|161|16100000|thin-high-vol|reference_move|buy|0|9978||||exogenous_discrete_reference_move
action|246|161|16100000|thin-high-vol|limit_add|buy|4|9969|174|174||accepted
action|247|161|16100000|thin-high-vol|aggressive_market|buy|1||175|175||accepted_ioc
action|248|162|16200000|thin-high-vol|reference_move|buy|0|9979||||exogenous_discrete_reference_move
action|249|162|16200000|thin-high-vol|aggressive_market|buy|5||176|176||accepted_ioc
action|250|162|16200000|thin-high-vol|cancel|buy|2||55|55||accepted
action|251|163|16300000|thin-high-vol|aggressive_market|sell|3||177|177||accepted_ioc
action|252|163|16300000|thin-high-vol|cancel|buy|4||174|174||accepted
action|253|164|16400000|thin-high-vol|aggressive_market|sell|1||178|178||accepted_ioc
action|254|165|16500000|thin-high-vol|reference_move|buy|0|9981||||exogenous_discrete_reference_move
action|255|165|16500000|thin-high-vol|limit_add|buy|1|9976|179|179||accepted
action|256|165|16500000|thin-high-vol|aggressive_market|buy|1||180|180||accepted_ioc
action|257|165|16500000|thin-high-vol|cancel|buy|1||179|179||accepted
action|258|166|16600000|thin-high-vol|reference_move|buy|0|9983||||exogenous_discrete_reference_move
action|259|166|16600000|thin-high-vol|aggressive_market|buy|1||181|181||accepted_ioc
action|260|167|16700000|thin-high-vol|reference_move|buy|0|9985||||exogenous_discrete_reference_move
action|261|167|16700000|thin-high-vol|limit_add|sell|1|9992|182|182||accepted
action|262|167|16700000|thin-high-vol|aggressive_market|sell|2||183|183||accepted_ioc
action|263|167|16700000|thin-high-vol|cancel|sell|1||182|182||accepted
action|264|168|16800000|thin-high-vol|reference_move|buy|0|9986||||exogenous_discrete_reference_move
action|265|168|16800000|thin-high-vol|limit_add|buy|3|9978|184|184||accepted
action|266|168|16800000|thin-high-vol|aggressive_market|buy|1||185|185||accepted_ioc
action|267|169|16900000|thin-high-vol|limit_add|buy|4|9979|186|186||accepted
action|268|169|16900000|thin-high-vol|aggressive_market|buy|4||187|187||accepted_ioc
action|269|170|17000000|thin-high-vol|reference_move|buy|0|9987||||exogenous_discrete_reference_move
action|270|170|17000000|thin-high-vol|limit_add|sell|1|9992|188|188||accepted
action|271|170|17000000|thin-high-vol|aggressive_market|buy|5||189|189||accepted_ioc
action|272|170|17000000|thin-high-vol|cancel|buy|4||186|186||accepted
action|273|171|17100000|thin-high-vol|limit_add|sell|3|9992|190|190||accepted
action|274|171|17100000|thin-high-vol|aggressive_market|buy|2||191|191||accepted_ioc
action|275|172|17200000|thin-high-vol|reference_move|buy|0|9988||||exogenous_discrete_reference_move
action|276|172|17200000|thin-high-vol|limit_add|sell|3|9990|192|192||accepted
action|277|172|17200000|thin-high-vol|aggressive_market|buy|5||193|193||accepted_ioc
action|278|173|17300000|thin-high-vol|limit_add|sell|1|9993|194|194||accepted
action|279|173|17300000|thin-high-vol|aggressive_market|sell|4||195|195||accepted_ioc
action|280|174|17400000|thin-high-vol|limit_add|buy|1|9984|196|196||accepted
action|281|174|17400000|thin-high-vol|cancel|sell|1||194|194||accepted
action|282|175|17500000|thin-high-vol|limit_add|sell|2|9992|197|197||accepted
action|283|176|17600000|thin-high-vol|limit_add|buy|5|9984|198|198||accepted
action|284|176|17600000|thin-high-vol|aggressive_market|sell|1||199|199||accepted_ioc
action|285|176|17600000|thin-high-vol|cancel|buy|5||198|198||accepted
action|286|177|17700000|thin-high-vol|limit_add|sell|4|9993|200|200||accepted
action|287|177|17700000|thin-high-vol|aggressive_market|sell|3||201|201||accepted_ioc
action|288|177|17700000|thin-high-vol|cancel|sell|4||200|200||accepted
action|289|178|17800000|thin-high-vol|reference_move|buy|0|9989||||exogenous_discrete_reference_move
action|290|178|17800000|thin-high-vol|limit_add|sell|3|9993|202|202||accepted
action|291|178|17800000|thin-high-vol|aggressive_market|buy|1||203|203||accepted_ioc
action|292|179|17900000|thin-high-vol|reference_move|sell|0|9987||||exogenous_discrete_reference_move
action|293|179|17900000|thin-high-vol|limit_add|buy|2|9985|204|204||accepted
action|294|179|17900000|thin-high-vol|aggressive_market|buy|1||205|205||accepted_ioc
action|295|180|18000000|thin-high-vol|limit_add|buy|5|9982|206|206||accepted
action|296|181|18100000|thin-high-vol|limit_add|buy|2|9982|207|207||accepted
action|297|182|18200000|thin-high-vol|limit_add|buy|5|9983|208|208||accepted
action|298|182|18200000|thin-high-vol|aggressive_market|buy|4||209|209||accepted_ioc
action|299|183|18300000|thin-high-vol|limit_add|buy|3|9981|210|210||accepted
action|300|184|18400000|thin-high-vol|limit_add|buy|2|9984|211|211||accepted
action|301|185|18500000|thin-high-vol|limit_add|buy|1|9981|212|212||accepted
action|302|185|18500000|thin-high-vol|aggressive_market|buy|2||213|213||accepted_ioc
action|303|186|18600000|thin-high-vol|aggressive_market|sell|2||214|214||accepted_ioc
action|304|187|18700000|thin-high-vol|limit_add|buy|3|9982|215|215||accepted
action|305|187|18700000|thin-high-vol|aggressive_market|sell|4||216|216||accepted_ioc
action|306|187|18700000|thin-high-vol|cancel|buy|1||212|212||accepted
action|307|188|18800000|thin-high-vol|limit_add|buy|4|9984|217|217||accepted
action|308|189|18900000|thin-high-vol|reference_move|sell|0|9985||||exogenous_discrete_reference_move
action|309|189|18900000|thin-high-vol|limit_add|sell|5|9990|218|218||accepted
action|310|190|19000000|thin-high-vol|reference_move|buy|0|9986||||exogenous_discrete_reference_move
action|311|190|19000000|thin-high-vol|limit_add|sell|4|9991|219|219||accepted
action|312|190|19000000|thin-high-vol|aggressive_market|sell|3||220|220||accepted_ioc
action|313|190|19000000|thin-high-vol|cancel|buy|3||215|215||accepted
action|314|191|19100000|thin-high-vol|reference_move|buy|0|9987||||exogenous_discrete_reference_move
action|315|191|19100000|thin-high-vol|limit_add|buy|5|9983|221|221||accepted
action|316|192|19200000|thin-high-vol|limit_add|buy|4|9985|222|222||accepted
action|317|192|19200000|thin-high-vol|aggressive_market|buy|3||223|223||accepted_ioc
action|318|192|19200000|thin-high-vol|cancel|buy|2||207|207||accepted
action|319|193|19300000|thin-high-vol|reference_move|sell|0|9985||||exogenous_discrete_reference_move
action|320|193|19300000|thin-high-vol|limit_add|sell|4|9990|224|224||accepted
action|321|193|19300000|thin-high-vol|cancel|sell|4||224|224||accepted
action|322|194|19400000|thin-high-vol|limit_add|sell|3|9991|225|225||accepted
action|323|194|19400000|thin-high-vol|aggressive_market|buy|4||226|226||accepted_ioc
action|324|194|19400000|thin-high-vol|cancel|sell|3||225|225||accepted
action|325|195|19500000|thin-high-vol|reference_move|buy|0|9987||||exogenous_discrete_reference_move
action|326|195|19500000|thin-high-vol|limit_add|buy|5|9984|227|227||accepted
action|327|195|19500000|thin-high-vol|cancel|buy|5||206|206||accepted
action|328|196|19600000|thin-high-vol|limit_add|buy|4|9984|228|228||accepted
action|329|196|19600000|thin-high-vol|aggressive_market|buy|1||229|229||accepted_ioc
action|330|197|19700000|thin-high-vol|limit_add|sell|2|9993|230|230||accepted
action|331|197|19700000|thin-high-vol|aggressive_market|buy|3||231|231||accepted_ioc
action|332|198|19800000|thin-high-vol|limit_add|sell|1|9992|232|232||accepted
action|333|198|19800000|thin-high-vol|aggressive_market|sell|1||233|233||accepted_ioc
action|334|198|19800000|thin-high-vol|cancel|buy|5||221|221||accepted
action|335|199|19900000|thin-high-vol|limit_add|buy|3|9985|234|234||accepted
action|336|199|19900000|thin-high-vol|aggressive_market|buy|3||235|235||accepted_ioc
trade|1|0|0|normal|1|10002|3|buy|-3|9
trade|2|3|300000|normal|2|9998|2|sell|-2|6
trade|3|6|600000|normal|3|9998|3|sell|-3|9
trade|4|14|1400000|normal|4|9998|1|sell|-1|3
trade|5|15|1500000|normal|5|10002|5|buy|-5|15
trade|6|18|1800000|normal|6|10002|3|buy|-3|9
trade|7|22|2200000|normal|7|10001|2|buy|-2|6
trade|8|30|3000000|normal|8|9998|4|sell|-4|12
trade|9|36|3600000|normal|9|9999|5|buy|-5|15
trade|10|51|5100000|normal|10|9998|2|sell|-2|6
trade|11|52|5200000|normal|11|9999|1|buy|-1|3
trade|12|53|5300000|normal|12|9998|2|sell|-2|6
trade|13|54|5400000|normal|13|9999|1|buy|-1|3
trade|14|54|5400000|normal|14|9999|1|buy|-1|3
trade|15|55|5500000|normal|15|9998|2|sell|-2|6
trade|16|55|5500000|normal|16|9996|1|sell|-1|3
trade|17|56|5600000|normal|17|9996|5|sell|-5|15
trade|18|59|5900000|normal|18|9996|5|sell|-5|15
trade|19|61|6100000|normal|19|9996|1|sell|-1|3
trade|20|61|6100000|normal|20|9996|1|sell|-1|3
trade|21|61|6100000|normal|21|9996|2|sell|-2|6
trade|22|63|6300000|normal|22|9997|3|buy|-3|9
trade|23|63|6300000|normal|23|9997|2|buy|-2|6
